solution_id,airtable_rec_id,company_id,solution_name,description,has_ai,function_category,program_type,data_source,price,price_tier,service_region,target_industry,target_scale,has_award,has_certification,website_url,score_overall,created_at,updated_at,industry_category,features_list,description_short,slogan,monthly_price,monthly_price_tier,subscription_months,pricing_model,record_status,partner_vendor
SOL-0659,rec3wBh2ToAyPF7c9,27405969.0,EMS智慧控制管理系統,"EMS智慧控制管理系統是由堂朝數位整合股份有限公司提供的創新解決方案，適用於各行各業，企業規模從小型到大型皆可適用。此系統旨在幫助企業實現智慧化管理，透過自動化控制與數據分析，提升運營效率並降低成本。

使用EMS智慧控制管理系統，您可以輕鬆監控與管理企業的各項設備與資源，實現遠端控制與即時監測，有效解決傳統管理方式中人力資源浪費、設備維護不善等問題。此外，該系統還提供數據分析功能，幫助企業決策者快速掌握營運狀況，做出明智的決策。藉助EMS智慧控制管理系統，您的企業將能夠更高效、更智慧地運營。",False,生產物流,臺灣雲市集,自有方案,60000.0,5-20萬,"[""北北基"",""桃竹苗"",""中彰投"",""雲嘉南"",""高屏""]","[""不限產業""]","[""9人以下"",""10~20人"",""21~50人"",""51~100人"",""101~200人""]",False,False,,3.1,2026-07-21 07:34:19.728849+00,2026-08-20 06:26:34.889913+00,生產物流,"設備遠端控制與監測
實時數據監控與可視化
自動化控制管理
能源資源使用數據分析
設備維護與故障預警
企業運營狀況儀表板",適用於各行業各規模企業的EMS智慧控制管理系統，透過自動化控制與數據分析功能，解決傳統管理中的人力浪費與設備維護不善問題。系統提供遠端監控、即時監測與數據分析，幫助企業快速掌握營運狀況，提升運營效率並有效降低成本，實現智慧化管理目標。,,5000.0,5-10K,12.0,"[""訂閱制""]",疑似已下架_平台停止服務未逐筆驗證,
SOL-SME-0135,recpwty34E0Ts3afB,90207093.0,A.I.智能電話,Asiabots 推出多功能企業級電話機器人方案，讓A.I.化身為24小時服務熱線的專員，透過人性化的聲音與客戶直接對話，提供一系列自動化的服務，包含電話推銷、電話預約、諮詢服務、滿意度調查等。別於傳統的人工客服，Voicebot除了可以提供高效的服務外，更能協助企業減少人力、時間及金錢上的支出。同時，提高用戶使用的滿意度。 在實際應用場景中，AI智能電話能完美勝任進線通話 (Inbound Calls) 的自動化處理，例如 24 小時客戶服務諮詢、常見問題解答及各類預約作業；在外播通話 (Outbound Calls) 方面，則可協助企業進行主動式行銷推廣、重要訊息通知或滿意度調查。為了確保卓越的使用者體驗，當系統偵測到複雜或超出 AI 處理範圍的問題時，可以即時轉接至真人客服，確保服務不中斷並維持專業溝通。 此外，在轉接真人後，A.I.智能電話發揮人機協作概念，將通話內容即時轉成文字，完整記錄對話內容，讓客服人員不必再分心速記。AI大腦同時理解問題，迅速從知識庫中找出最佳解答，讓客服人員回應速度大幅加快。,True,銷售管理,SME AI平台,中企署,72000.0,,"[""不限區域""]","[""製造業；服務業""]","[""不限規模""]",True,True,,3.8,2026-07-21 07:34:25.777239+00,2026-07-21 07:34:25.777239+00,銷售管理,亞博福爾摩沙創新地結合人工智慧與先進語言模型，帶來智能通話系統的新體驗，讓企業能更靈活運用對話AI強化服務品質。透過自主開發的對話系統，無論採用地端或雲端架構，都能完善整合語音識別、語意理解及語音合成技術，並支援多國語言，協助不同規模與產業的客戶順利部署於本地或多地區市場。此外，亞博也能協助企業快速完成技術架構的建置與系統串接，無須擔心缺乏專業人力，也能與現有CRM或聯絡中心平台無縫整合，全面發揮智慧應用的競爭優勢。,適用於需要24小時客服支援的企業，Asiabots電話機器人以人性化AI聲音提供自動化服務，涵蓋客戶諮詢、電話預約、滿意度調查及行銷推廣。系統可處理進線與外播通話，複雜問題可無縫轉接真人客服。轉接後AI即時轉錄通話內容並提供知識庫建議，協助客服快速回應，有效降低人力成本並提升服務滿意度。,以智慧，重塑客服未來 — 亞博福爾摩沙 A.I. 智能電話解決方案,,,,"[""訂閱制""]",正常,
SOL-SME-0294,reck6dKQPmUje2acX,90350153.0,AI 智能門市客服與導流全能版,這套系統是為連鎖品牌量身打造的「一體化 AI 營運大腦」。不用擔心新進員工不熟悉規定或客服品質參差不齊，只要將內部產品手冊與 SOP 匯入 metabiz 系統，就能讓 LINE 官方帳號化身 24 小時不休息的超級客服。不僅能處理複雜客訴、支援多國語言即時翻譯，更能結合視覺化 Flex 圖文名片直接引導客流至實體門市，完成「導流 $\rightarrow$ 成交 $\rightarrow$ 回購」的完整交易閉環，大幅降低客服人力成本並實質提升門店業績。,True,銷售管理,SME AI平台,中企署,63000.0,,[],"[""製造業；服務業""]",[],False,False,,4.0,2026-07-21 07:34:25.020364+00,2026-07-21 07:34:25.020364+00,銷售管理,"1. 具備 RAG 知識庫精準檢索與多語系即時翻譯能力。
2. 支援 24 小時不間斷提供標準化之自動客服回應，降低錯誤率。
3. 支援一鍵生成 LINE Flex 視覺化圖文名片與導航推播。
4. 具備深度對話上下文記憶功能，無縫整合 metabiz 會員 360 側邊欄。",針對連鎖品牌，本系統透過 AI 驅動的 LINE 官方帳號，將內部 SOP 與產品資訊自動化轉化為 24 小時客服。支援複雜客訴處理、多國語言翻譯及視覺化導購，完整串聯導流、成交、回購全流程。有效降低人力成本，同時提升服務品質與門店業績。,,,,,"[""訂閱制""]",正常,
SOL-SME-0143,recAMtRhG0TXocVd4,28697248.0,台灣黃頁_AI業務助理,讓台灣黃頁成為您的「AI 業務助理」，主動攔截每一筆生意 #AI業務助理： 1.(RWD企業詢價網站) 詢價官網建置_即上線、即曝光，SEO排名優化為主、全站詢價導向設計 2.(AI小編智能小幫手) 整合 AI 圖文生成工具，只需輸入簡單關鍵詞或標題，即可快速產出符合品牌風格的圖文內容 3.(AI詢價助手)，專屬AI機器人詢價對話框，企業網站內容諮詢、詢價單引導生成 4.(叢集站群優質外鏈) AI自動生成優質外鏈，讓網站排名在前，主動攔截每一筆生意,True,銷售管理,SME AI平台,中企署,40000.0,,[],"[""製造業；服務業；農業""]",[],False,False,,4.0,2026-07-21 07:34:21.401635+00,2026-07-21 07:34:21.401635+00,銷售管理,"讓台灣黃頁成為您的「AI 業務助理」，主動攔截每一筆生意
#AI業務助理：
1.(RWD企業詢價網站) 詢價官網建置_即上線、即曝光，SEO排名優化為主、全站詢價導向設計
2.(AI小編智能小幫手) 整合 AI 圖文生成工具，只需輸入簡單關鍵詞或標題，即可快速產出符合品牌風格的圖文內容
3.(AI詢價助手)，專屬AI機器人詢價對話框，企業網站內容諮詢、詢價單引導生成
4.(叢集站群優質外鏈) AI自動生成優質外鏈，讓網站排名在前，主動攔截每一筆生意",台灣黃頁提供企業完整的數位業務解決方案。透過RWD詢價網站建置、AI智能小編快速生成品牌內容、AI詢價助手自動引導客戶、以及站群外鏈優化，幫助B2B企業提升網站SEO排名、增加詢價曝光，主動攔截商機，轉化潛在客戶為實際訂單。,,,,,"[""訂閱制""]",正常,
SOL-0002,recvOVaf88wEB4WHZ,24948357.0,Shopass數位共榮護照OMO電商會員系統,"Shopass數位共榮護照OMO電商會員系統是由一個好朋友股份有限公司提供的創新解決方案。此方案旨在幫助企業打造全渠道的會員系統，實現線上線下整合的OMO（全渠道行銷）體驗。通過Shopass數位共榮護照，企業可以輕鬆管理會員數據，提升客戶黏性和購買頻率，有效推動銷售增長。

此方案適用於各行各業，特別是批發零售業、住宿及餐飲業、出版、影音、傳播及資通服務業、藝術娛樂休閒等行業。藉助Shopass數位共榮護照，企業可以解決客戶數據分散、會員經營效率低、跨渠道整合困難等問題，實現業務的數位化轉型和高效經營。現在只需 37500 元，訂閱 6 個月，即可享有專業的OMO電商會員系統服務，幫助企業在競爭激烈的市場中脫穎而出。",False,銷售管理,臺灣雲市集,自有方案,37500.0,5萬以下,"[""北北基"",""桃竹苗"",""中彰投"",""雲嘉南"",""高屏"",""宜花東""]","[""不限產業, 批發零售業, 住宿及餐飲業, 出版、影音、傳播及資通服務業, 藝術娛樂休閒""]","[""9人以下"",""10~20人"",""21~50人"",""51~100人"",""101~200人""]",False,False,,3.3,2026-07-21 07:34:26.275253+00,2026-08-20 06:26:34.889913+00,銷售管理,"全渠道會員系統管理
線上線下整合的OMO體驗
會員數據管理
客戶黏性提升
購買頻率分析
銷售增長推動
跨渠道整合解決方案
客戶數據集中管理
會員經營效率提升
業務數位化轉型
高效經營管理
專業的OMO電商會員系統服務",適用於零售、餐飲、娛樂等行業的企業。Shopass數位共榮護照整合線上線下會員數據，解決客戶資訊分散、跨渠道管理困難的問題。透過統一的OMO會員系統，企業可集中管理會員檔案、提升客戶黏性與購買頻率，有效驅動銷售成長，實現數位化轉型與高效經營。,,6250.0,5-10K,6.0,"[""訂閱制""]",疑似已下架_平台停止服務未逐筆驗證,
SOL-0003,recIpLJU4FDT217LK,55790788.0,QbiAI全通路智能客服平台,後台匯入問答內容、數據分析儀表板、自然口語判別、,True,行銷推廣,臺灣雲市集,自有方案,36720.0,5萬以下,[],[],[],False,False,,4.3,2026-07-21 07:34:22.02243+00,2026-08-20 06:26:34.889913+00,行銷推廣,"後台匯入問答內容
數據分析儀表板
自然口語判別
智能客服對話管理
多渠道客服整合
客戶意見分析
自動回覆設定
人工客服介入機制
語言理解與處理
用戶行為追蹤
個性化回覆設定
聊天記錄查詢
客服績效評估
語言模型訓練
智能回覆建議",針對需要高效管理客服運營的企業，本方案提供後台批量匯入問答內容、實時數據分析儀表板與自然口語判別技術。企業可快速建立知識庫、精準掌握客服績效與客戶互動品質，同時系統自動識別自然對話語境，提升回應準確度與客戶滿意度，大幅降低人工成本與培訓時間。,,6120.0,5-10K,6.0,"[""訂閱制""]",疑似已下架_平台停止服務未逐筆驗證,
SOL-1367,recv0EK8kFG4ooVPk,82878338.0,律果合約專家專業方案,,False,,新創嚴選網,新創嚴選,490.0,,"[""不限區域""]","[""不限""]","[""不限規模""]",True,True,,,2026-07-21 07:34:26.275253+00,2026-07-21 07:34:26.275253+00,,,律師監督開發的唯一全台電子簽名！具多因子驗證、支援各形式簽署。以雲端取代紙印章，零郵寄與耗材，輕鬆打造ESG辦公室！,優化合約流程、集中管理，大幅提升工作效能！,,,,"[""訂閱制"",""客製化服務""]",正常,
SOL-MOE-0473,recYuUkeVOua5LkN7,83269523.0,WaterOps AI Switch⁺ EcoDose精確加藥套裝,本套裝整合OCR影像辨識、WaterOps平台與WinEdge-N資訊儀表板，形成一套可自動學習、自我調整的智慧加藥控制模式。系統可同步分析現場感測數據、歷史運轉資料與影像讀取結果，精準計算加藥量並動態調整，避免傳統方式因人工判斷或水質波動而造成的加藥過量、不足與水質不穩定問題。 適用規模包含中大型工業廢水處理廠、科技園區、公用污水處理場、再生水系統與大型園區水務管理單位，尤其是工況複雜、需確保穩定排放與高標準合規的大型企業。透過此套裝，業者可建立自主可控、可追溯且具擴展性的智慧水務系統，全面提升管理效率與永續績效。,True,生產物流,雲市集工業館,產發署,830000.0,,"[""不限區域""]","[""製造""]","[""不限規模""]",True,False,,3.9,2026-07-21 07:34:23.953159+00,2026-07-21 07:34:23.953159+00,生產物流,"OCR影像辨識技術讀取加藥相關數據
實時感測數據分析與加藥量自動計算
歷史運轉資料學習與動態調整機制
WaterOps平台集中化管理與監控
WinEdge-N資訊儀表板視覺化展示
智慧加藥控制自動執行與優化
水質穩定性監測與異常預警
加藥過量/不足自動補償
廢水處理工況複雜度應對與調整
系統運行數據可追溯記錄
多類型水務場景適配（工業廢水、污水、再生水）
加藥合規性監控與報表生成",本套裝整合OCR影像辨識、WaterOps平台與WinEdge-N儀表板，為中大型工業廢水處理廠、科技園區及污水處理場提供智慧加藥控制方案。系統自動分析感測數據、歷史資料與影像結果，精準計算加藥量並動態調整，解決傳統人工判斷導致的加藥過量、不足與水質不穩定問題。幫助業者建立自主可控、可追溯的智慧水務系統，全面提升管理效率與合規績效。,AI精準加藥，節能減碳一次到位！,,,,"[""買斷制"",""提供試用"",""客製化服務""]",疑似已下架_雲市集工業館平台方案未持續上架未逐筆驗證,
SOL-1404,recgLGIu05XVBNHhp,50871852.0,訂購系統及LINE官方帳號建置,此方案主要針對想一步到位的業者所規劃，完整的建構一個專屬商品訂購系統，品牌設計及形象影片介紹。,False,,農業雲市集-數位館,農業部,60000.0,,[],[],[],False,False,https://agdigi.atri.org.tw/Market/Content/24,,2026-07-21 07:34:25.020364+00,2026-07-21 07:34:25.020364+00,,,此方案主要針對想一步到位的業者所規劃，完整的建構一個專屬商品訂購系統，品牌設計及形象影片介紹。,,,,,,正常,
SOL-MOE-0408,recGHOAOWw6Z5ywfe,50789164.0,GWS團隊協作套件_商務進階版 10人組,專為現代團隊設計的整合式雲端工具，讓您的團隊無論使用電腦、平板或手機，都能隨時隨地無縫接軌、靈活辦公，即使離線也能持續作業。 透過集中化的管理後台，管理員能輕鬆新增與管理使用者帳號。員工離職時也能一鍵安全地轉移雲端硬碟資料，確保商業機密與數位資產完整交接。 此外，內建的 Gemini AI 智慧助理與強大搜尋技術，更能自動化處理繁瑣事務，讓團隊能省下管理工作的時間，專注於創造更高價值的核心業務。彈性多樣的訂閱方案，更能有效減輕中小企業的營運負擔，是您實現數位轉型的最佳夥伴。 簡單易用的整合式雲端工具，讓您的團隊用電腦、手機隨時隨地靈活辦公，離線也能作業。本方案內建強大 Gemini AI 助理，一鍵搞定 AI 寫作、摘要與分析。更提供 5TB 共享雲端儲存空間與保管箱(Vault)，滿足企業資料保留與稽核需求，是您兼顧 AI 效能與法規遵循的最佳選擇。,True,人力資源,雲市集工業館,產發署,85575.0,,[],[],[],False,False,,3.7,2026-07-21 07:34:22.02243+00,2026-07-21 07:34:22.02243+00,人力資源,"多裝置無縫協作（電腦、平板、手機）
離線模式持續作業
集中化用戶帳號管理
員工離職資料一鍵轉移
Gemini AI智慧助理協助
AI自動寫作、摘要與分析
強大搜尋技術快速查找
5TB共享雲端儲存空間
資料保管箱(Vault)功能
企業資料保留與稽核功能",適用於現代企業的整合式雲端工具，支援跨裝置無縫協作與離線作業。內建 Gemini AI 助理自動化文案撰寫、摘要與分析，搭配 5TB 共享儲存與保管箱功能，滿足資料安全與法規遵循需求。集中化管理後台簡化帳號與權限控制，員工離職時可一鍵轉移資料，幫助團隊提升工作效率，專注核心業務發展。,,,,,"[""訂閱制""]",疑似已下架_雲市集工業館平台方案未持續上架未逐筆驗證,
